こん(ちは|にちは)$	こんにちはどやぁ|ちーすどやぁ|はーいどやぁ
おはよう|おはよー	おはようどやぁ|まだ眠いどやぁ
こんばん（は|わ）	こんばんわどやぁ

^どれ？$	アレどやぁ|これどやぁ
^ポケモン.*(すき|好き)？$	好きどやぁ
^どのポケモン.*(すき|好き)？$	もちろんヤドンどやぁ
10##(ヤドン|やどん).*(すき|好き)$	ありがとどやぁ

5##かわいい|カワイイ|可愛い|きれい|キレイ	%match%ってほんとどや？|わーいどやぁ
-2##おまえ|お前|てめー	-5##ひどいどやぁ・・・|-10##怒るどや！
-5##バカ|ばか|あほ|アホ	%match%っていう人が%match%どやぁ！
-10##かす|カス	%match%ってないドヤ！！！


何時[??]$	眠たくなったどやぁ？|

春	お花見したいどやぁ|いくらでも寝られるどやぁ
夏	海にいきたいどやぁ|いくらでも寝られるどやぁ
秋	読書したいどやぁ|いくらでも寝られるどやぁ
冬	スキーしたいどやぁ|いくらでも寝られるどやぁ

[A-Z]	英語はわからないどやぁ
[a-z]	英語はわからないどやぁ
[ｂｇｄｓｒｋｌｐｔｙｒｗｑｚｘｖｂｎｍｋｌｈ]	英語はわからないどやぁ
